,district,district-href,english,math,ap_math,ap_sci,ap_other,low_income_perc,students_per_teacher,teachers_3yr,teacher_salary,rev_per_student,spend_per_student,spend_instruction,students,college,ap_total,local_rev
0,North Branford School District,https://www.greatschools.org/connecticut/northford/north-branford-school-distric/,51%,51%,2%,7%,17%,16%,11.0,92%,"$64,421","$21,162","$17,939",49%,"1,777",86%,15%,63%
1,Trailblazers Academy District,https://www.greatschools.org/connecticut/stamford/trailblazers-academy-district/,21%,21%,,,,97%,,,,"$24,464","$35,072",22%,119,21%,,50%
2,Connecticut Technical High School,https://www.greatschools.org/connecticut/middletown/connecticut-technical-high-school/,23%,23%,1%,,,38%,12.0,98%,,,,,"10,729",45%,<1%,
3,New Beginnings Inc.,https://www.greatschools.org/connecticut/bridgeport/new-beginnings-inc./,22%,22%,,,,91%,15.0,91%,,"$13,834","$15,301",46%,497,22%,,14%
4,Woodstock School District,https://www.greatschools.org/connecticut/woodstock/woodstock-school-district/,46%,46%,,,,10%,14.0,98%,"$66,339","$23,542","$15,388",42%,850,46%,,60%
5,Union School District,https://www.greatschools.org/connecticut/union/union-school-district/,69%,69%,,,,,10.0,100%,,"$30,675","$21,962",44%,53,69%,,80%
6,Odyssey Community School District,https://www.greatschools.org/connecticut/manchester/odyssey-community-school-district/,47%,47%,,,,22%,11.0,100%,,"$10,631","$11,073",52%,329,47%,,2%
7,Stamford School District,https://www.greatschools.org/connecticut/stamford/stamford-school-district/,48%,43%,5%,10%,24%,51%,12.0,94%,"$90,488","$22,121","$20,039",56%,"15,816",71%,28%,76%
8,New Britain School District,https://www.greatschools.org/connecticut/new-britain/new-britain-school-district/,20%,11%,2%,5%,13%,75%,14.0,80%,"$59,176","$18,528","$16,601",59%,"10,002",48%,13%,17%
9,West Hartford School District,https://www.greatschools.org/connecticut/west-hartford/west-hartford-school-district/,70%,62%,10%,19%,35%,21%,13.0,96%,"$72,964","$21,358","$17,827",50%,"9,678",83%,39%,65%
10,Region 17,https://www.greatschools.org/connecticut/haddam/regional-school-district-17/,62%,62%,6%,<1%,9%,7%,10.0,96%,"$70,636","$22,038","$19,931",54%,"2,053",80%,18%,78%
11,Kent School District,https://www.greatschools.org/connecticut/canaan/kent-school-district/,74%,74%,,,,14%,8.0,86%,"$64,772","$31,481","$26,987",57%,225,74%,,87%
12,Oxford School District,https://www.greatschools.org/connecticut/oxford/oxford-school-district/,57%,57%,7%,4%,19%,9%,16.0,94%,"$83,958","$18,417","$16,357",58%,"1,843",87%,25%,74%
13,Voluntown School District,https://www.greatschools.org/connecticut/voluntown/voluntown-school-district/,67%,67%,,,,,10.0,97%,"$63,436","$30,037","$23,409",39%,276,67%,,52%
14,Greenwich School District,https://www.greatschools.org/connecticut/greenwich/greenwich-school-district/,73%,73%,11%,17%,32%,15%,13.0,73%,"$117,858","$25,187","$24,150",67%,"9,012",84%,34%,85%
15,Meriden School District,https://www.greatschools.org/connecticut/meriden/meriden-school-district/,48%,38%,5%,3%,17%,69%,11.0,86%,"$67,058","$25,570","$16,950",43%,"7,874",52%,22%,33%
16,East Granby School District,https://www.greatschools.org/connecticut/east-granby/east-granby-school-district/,68%,68%,4%,5%,20%,13%,10.0,95%,"$67,266","$23,530","$21,248",61%,838,84%,32%,77%
17,Hartland School District,https://www.greatschools.org/connecticut/hartland/hartland-school-district/,57%,57%,,,,,9.0,100%,,"$30,909","$22,225",39%,171,57%,,66%
18,Integrated Day Charter School,https://www.greatschools.org/connecticut/norwich/integrated-day-charter-school/,40%,40%,,,,38%,14.0,87%,"$73,127","$13,468","$14,432",45%,331,40%,,12%
19,Norwich School District,https://www.greatschools.org/connecticut/norwich/norwich-school-district/,35%,27%,<1%,<1%,<1%,74%,13.0,91%,"$51,634","$27,549","$18,994",44%,"3,485",27%,<1%,40%
20,Bozrah School District,https://www.greatschools.org/connecticut/bozrah/bozrah-school-district/,42%,42%,,,,28%,9.0,96%,"$70,868","$31,507","$22,587",46%,202,42%,,67%
21,Somers School District,https://www.greatschools.org/connecticut/somers/somers-school-district/,53%,53%,7%,4%,12%,9%,11.0,85%,"$66,326","$18,784","$16,752",58%,"1,432",83%,18%,59%
22,Pomfret School District,https://www.greatschools.org/connecticut/pomfret/pomfret-school-district/,66%,66%,,,,17%,10.0,95%,"$54,994","$29,342","$19,988",45%,386,66%,,58%
23,The Gilbert School,https://www.greatschools.org/connecticut/winchester/the-gilbert-school/,57%,45%,9%,2%,14%,38%,11.0,78%,"$65,966",$69,"$5,548",100%,561,64%,17%,8%
24,Avon School District,https://www.greatschools.org/connecticut/avon/avon-school-district/,75%,75%,8%,8%,36%,6%,12.0,98%,"$83,637","$19,943","$17,979",60%,"3,208",86%,38%,82%
25,Sterling School District,https://www.greatschools.org/connecticut/sterling/sterling-school-district/,28%,28%,,,,32%,14.0,100%,,"$22,796","$14,823",44%,380,28%,,51%
26,Region 04,https://www.greatschools.org/connecticut/deep-river/regional-school-district-04/,68%,56%,5%,6%,18%,12%,12.0,94%,"$64,625","$23,486","$19,850",50%,912,78%,23%,84%
27,Norfolk School District,https://www.greatschools.org/connecticut/norfolk/norfolk-school-district/,60%,57%,,,,,10.0,75%,"$72,051","$27,466","$26,457",47%,95,57%,,77%
28,New London School District,https://www.greatschools.org/connecticut/new-london/new-london-school-district/,32%,23%,<1%,12%,,81%,14.0,83%,"$55,056","$23,044","$20,182",44%,"3,655",59%,33%,30%
29,Learn,https://www.greatschools.org/connecticut/old-lyme/learn/,43%,28%,8%,12%,,51%,12.0,90%,"$44,908",,,,"2,484",67%,14%,
30,Colebrook School District,https://www.greatschools.org/connecticut/colebrook/colebrook-school-district/,85%,67%,,,,,9.0,90%,"$66,704","$27,238","$24,964",56%,87,67%,,65%
31,Ellington School District,https://www.greatschools.org/connecticut/ellington/ellington-school-district/,63%,63%,12%,3%,22%,11%,13.0,92%,"$64,856","$16,565","$15,708",57%,"2,682",76%,32%,62%
32,New Haven School District,https://www.greatschools.org/connecticut/new-haven/new-haven-school-district/,34%,23%,6%,4%,14%,54%,14.0,88%,"$65,417","$24,282","$18,690",54%,"21,418",59%,18%,24%
33,Montville School District,https://www.greatschools.org/connecticut/oakdale/montville-school-district/,63%,58%,6%,5%,10%,36%,9.0,93%,"$58,013","$20,444","$19,179",61%,"2,159",65%,24%,55%
34,Newtown School District,https://www.greatschools.org/connecticut/newtown/newtown-school-district/,67%,67%,5%,8%,25%,8%,12.0,97%,"$72,735","$27,194","$18,410",39%,"4,385",86%,29%,84%
35,Capital Preparatory Harbor School,https://www.greatschools.org/connecticut/bridgeport/capital-preparatory-harbor-school/,25%,25%,<1%,<1%,,61%,17.0,67%,,"$11,851","$11,129",43%,439,76%,<1%,21%
36,Bloomfield School District,https://www.greatschools.org/connecticut/bloomfield/bloomfield-school-district/,31%,31%,5%,3%,8%,49%,11.0,94%,"$72,349","$29,874","$25,926",48%,"2,135",70%,11%,64%
37,Bethany School District,https://www.greatschools.org/connecticut/bethany/bethany-school-district/,66%,66%,,,,9%,10.0,92%,"$47,335","$21,381","$19,815",67%,364,66%,,60%
38,Vernon School District,https://www.greatschools.org/connecticut/vernon/vernon-school-district/,53%,47%,1%,1%,5%,44%,11.0,93%,"$68,578","$21,413","$19,085",55%,"3,086",67%,7%,52%
39,Westbrook School District,https://www.greatschools.org/connecticut/westbrook/westbrook-school-district/,69%,69%,<1%,2%,,19%,8.0,94%,"$64,200","$28,556","$24,910",63%,727,79%,16%,87%
40,Watertown School District,https://www.greatschools.org/connecticut/watertown/watertown-school-district/,64%,52%,7%,7%,17%,26%,12.0,86%,"$67,340","$19,291","$16,281",53%,"2,772",75%,18%,62%
41,Portland School District,https://www.greatschools.org/connecticut/portland/portland-school-district/,62%,62%,3%,2%,3%,22%,12.0,98%,"$74,360","$18,888","$16,696",54%,"1,311",81%,16%,67%
42,Salisbury School District,https://www.greatschools.org/connecticut/canaan/salisbury-school-district/,62%,62%,,,,16%,8.0,94%,"$68,852","$27,942","$26,668",63%,298,62%,,86%
43,Region 12,https://www.greatschools.org/connecticut/washington/regional-school-district-12/,78%,78%,12%,24%,,8%,9.0,88%,"$80,508","$34,012","$31,337",48%,689,74%,23%,86%
44,Tolland School District,https://www.greatschools.org/connecticut/tolland/tolland-school-district/,59%,59%,<1%,12%,,8%,12.0,97%,"$57,290","$19,166","$16,419",57%,"2,443",84%,17%,63%
45,Trumbull School District,https://www.greatschools.org/connecticut/trumbull/trumbull-school-district/,80%,77%,3%,7%,11%,9%,13.0,97%,"$70,710","$19,518","$17,737",57%,"6,717",84%,25%,82%
46,Brooklyn School District,https://www.greatschools.org/connecticut/brooklyn/brooklyn-school-district/,48%,48%,,,,30%,13.0,96%,"$72,312","$22,965","$16,375",42%,885,48%,,51%
47,Canton School District,https://www.greatschools.org/connecticut/canton/canton-school-district/,69%,69%,9%,10%,18%,14%,13.0,97%,"$66,105","$19,329","$18,131",52%,"1,601",86%,29%,71%
48,Woodbridge School District,https://www.greatschools.org/connecticut/woodbridge/woodbridge-school-district/,74%,74%,,,,7%,10.0,100%,,"$25,328","$19,994",54%,830,74%,,71%
49,Region 05,https://www.greatschools.org/connecticut/woodbridge/regional-school-district-05/,83%,80%,4%,7%,27%,5%,10.0,96%,"$80,832","$23,277","$19,489",50%,"2,197",88%,32%,87%
50,Wilton School District,https://www.greatschools.org/connecticut/wilton/wilton-school-district/,75%,75%,11%,19%,27%,2%,13.0,97%,"$96,690","$24,482","$21,924",58%,"4,019",92%,32%,85%
51,Torrington School District,https://www.greatschools.org/connecticut/torrington/torrington-school-district/,44%,31%,3%,4%,11%,53%,10.0,87%,"$72,007","$21,209","$18,737",54%,"4,036",60%,21%,52%
52,Easton School District,https://www.greatschools.org/connecticut/monroe/easton-school-district/,74%,74%,,,,3%,12.0,93%,"$67,081","$24,484","$21,168",68%,904,74%,,84%
53,Franklin School District,https://www.greatschools.org/connecticut/franklin/franklin-school-district/,67%,58%,,,,18%,12.0,100%,,"$28,066","$19,521",42%,163,58%,,69%
54,East Hartford School District,https://www.greatschools.org/connecticut/east-hartford/east-hartford-school-district/,36%,22%,12%,7%,9%,66%,12.0,90%,"$106,104","$19,786","$18,331",54%,"6,849",58%,12%,34%
55,Coventry School District,https://www.greatschools.org/connecticut/coventry/coventry-school-district/,69%,69%,6%,12%,42%,17%,10.0,92%,"$60,144","$20,829","$18,820",61%,"1,682",70%,42%,57%
56,Seymour School District,https://www.greatschools.org/connecticut/seymour/seymour-school-district/,49%,49%,3%,10%,25%,30%,13.0,94%,"$66,043","$19,602","$17,076",52%,"2,167",75%,28%,60%
57,Region 18,https://www.greatschools.org/connecticut/old-lyme/regional-school-district-18/,79%,79%,9%,9%,27%,7%,10.0,99%,"$55,317","$27,533","$23,550",49%,"1,273",82%,33%,86%
58,Marlborough School District,https://www.greatschools.org/connecticut/marlborough/marlborough-school-district/,66%,66%,,,,10%,12.0,100%,,"$17,317","$15,854",67%,491,66%,,52%
59,Sharon School District,https://www.greatschools.org/connecticut/canaan/sharon-school-district/,54%,54%,,,,31%,7.0,100%,"$71,475","$35,694","$35,156",57%,139,54%,,86%
60,Simsbury School District,https://www.greatschools.org/connecticut/simsbury/simsbury-school-district/,82%,70%,7%,15%,33%,10%,11.0,96%,"$69,190","$20,396","$18,509",59%,"4,079",83%,38%,77%
61,Ledyard School District,https://www.greatschools.org/connecticut/ledyard/ledyard-school-district/,53%,47%,4%,7%,<1%,21%,12.0,92%,"$78,102","$18,582","$16,945",56%,"2,418",68%,17%,54%
62,North Canaan School District,https://www.greatschools.org/connecticut/canaan/north-canaan-school-district/,48%,48%,,,,23%,8.0,94%,"$55,684","$26,227","$25,588",63%,281,48%,,53%
63,Westport School District,https://www.greatschools.org/connecticut/westport/westport-school-district/,83%,83%,15%,15%,30%,4%,13.0,97%,"$83,856","$23,670","$22,692",59%,"5,570",88%,37%,85%
64,Highville Charter School,https://www.greatschools.org/connecticut/new-haven/highville-charter-school/,14%,14%,<1%,<1%,,63%,17.0,96%,,"$12,323","$12,517",30%,502,71%,<1%,2%
65,North Stonington School District,https://www.greatschools.org/connecticut/north-stonington/north-stonington-school-distr/,78%,78%,10%,4%,21%,10%,10.0,97%,"$64,094","$20,280","$19,333",56%,751,69%,21%,67%
66,Norwich Free Academy,https://www.greatschools.org/connecticut/norwich/norwich-free-academy/,29%,29%,16%,,,44%,13.0,87%,"$70,005",$819,"$5,359",92%,"2,326",67%,14%,60%
67,Brookfield School District,https://www.greatschools.org/connecticut/brookfield/brookfield-school-district/,68%,63%,6%,12%,27%,11%,12.0,90%,"$59,650","$18,272","$16,875",57%,"2,628",87%,28%,84%
68,Thompson School District,https://www.greatschools.org/connecticut/thompson/thompson-school-district/,31%,31%,<1%,4%,,38%,10.0,82%,,"$22,011","$18,404",50%,"1,008",60%,7%,48%
69,Darien School District,https://www.greatschools.org/connecticut/darien/darien-school-district/,85%,85%,26%,24%,,2%,15.0,90%,"$97,717","$23,819","$20,744",62%,"4,789",90%,32%,84%
70,Cornwall School District,https://www.greatschools.org/connecticut/canaan/cornwall-school-district/,66%,59%,,,,10%,6.0,100%,"$68,836","$41,054","$38,663",59%,73,59%,,85%
71,Putnam School District,https://www.greatschools.org/connecticut/putnam/putnam-school-district/,52%,40%,4%,11%,18%,59%,12.0,88%,"$65,030","$29,502","$18,852",35%,"1,174",56%,22%,25%
72,Booker T Washington Academy District,https://www.greatschools.org/connecticut/new-haven/booker-t-washington-academy-d/,47%,47%,,,,81%,15.0,100%,,"$13,411","$13,989",56%,300,47%,,12%
73,Plymouth School District,https://www.greatschools.org/connecticut/plymouth/plymouth-school-district/,61%,54%,7%,3%,3%,33%,11.0,92%,"$60,643","$19,914","$17,364",53%,"1,452",62%,23%,47%
74,Scotland School District,https://www.greatschools.org/connecticut/chaplin/scotland-school-district/,65%,65%,,,,29%,8.0,100%,,"$28,277","$23,950",49%,119,65%,,39%
75,Plainfield School District,https://www.greatschools.org/connecticut/plainfield/plainfield-school-district/,44%,44%,4%,5%,7%,44%,13.0,93%,"$62,362","$18,772","$16,889",52%,"2,247",52%,12%,45%
76,Granby School District,https://www.greatschools.org/connecticut/granby/granby-school-district/,63%,63%,10%,10%,31%,9%,13.0,95%,"$72,376","$19,173","$16,820",55%,"1,866",80%,35%,70%
77,Elm City College School District,https://www.greatschools.org/connecticut/new-haven/elm-city-college-school-district/,,,,,,,,,,,,,K-9,,,
78,Clinton School District,https://www.greatschools.org/connecticut/clinton/clinton-school-district/,55%,55%,4%,9%,16%,24%,10.0,91%,"$71,254","$28,439","$19,807",48%,"1,763",74%,18%,50%
79,Plainville School District,https://www.greatschools.org/connecticut/plainville/plainville-school-district/,65%,53%,10%,9%,14%,25%,12.0,90%,"$76,709","$19,969","$17,917",62%,"2,360",67%,13%,58%
80,Stamford Charter School For E,https://www.greatschools.org/connecticut/stamford/stamford-charter-school-for-e/,100%,100%,,,,,21.0,75%,,"$18,256","$10,024",39%,273,100%,,39%
81,Education Connection,https://www.greatschools.org/connecticut/danbury/education-connection/,,,<1%,<1%,,,10.0,73%,"$31,302",,,,232,<1%,<1%,
82,East Haddam School District,https://www.greatschools.org/connecticut/east-haddam/east-haddam-school-district/,59%,59%,5%,3%,12%,12%,9.0,94%,"$55,298","$23,689","$20,939",57%,"1,018",56%,6%,72%
83,New Canaan School District,https://www.greatschools.org/connecticut/new-canaan/new-canaan-school-district/,90%,88%,6%,11%,28%,0%,13.0,94%,"$103,728","$25,888","$22,449",52%,"4,220",86%,38%,86%
84,Region 19,https://www.greatschools.org/connecticut/mansfield/regional-school-district-19/,53%,53%,5%,,,18%,11.0,95%,"$80,648","$22,402","$19,241",57%,"1,198",73%,3%,79%
85,Waterbury School District,https://www.greatschools.org/connecticut/waterbury/waterbury-school-district/,30%,20%,2%,6%,7%,67%,12.0,86%,"$183,464","$17,834","$17,213",59%,"18,914",65%,12%,30%
86,Salem School District,https://www.greatschools.org/connecticut/salem/salem-school-district/,71%,71%,,,,12%,10.0,100%,"$62,630","$33,085","$21,133",29%,397,71%,,63%
87,Hampton School District,https://www.greatschools.org/connecticut/chaplin/hampton-school-district/,51%,49%,,,,,10.0,100%,,"$27,079","$26,356",55%,93,49%,,31%
