,School,Students,District
0,"10/10Top ratedGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Weston High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut115 School Road, Weston, CT, 06883  Homes for sale",808.0,Weston School District
1,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Webster Hill School
125 Webster Hill Boulevard, West Hartford, CT, 06107  Homes for sale",361.0,West Hartford School District
2,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Sound School
60 South Water Street, New Haven, CT, 06519  Homes for sale",331.0,New Haven School District
3,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Julia A. Stark School
398 Glenbrook Rd, Stamford, CT, 06906  Homes for sale",603.0,Stamford School District
4,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Hayestown Avenue School
42 Tamarack Avenue, Danbury, CT, 06811  Homes for sale",484.0,Danbury School District
5,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Ridgebury Elementary School
112 Bennetts Farm Road, Ridgefield, CT, 06877  Homes for sale",338.0,Ridgefield School District
6,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
North End Middle School
534 Bucks Hill Road, Waterbury, CT, 06704  Homes for sale",898.0,Waterbury School District
7,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Walter C. Polson Upper Middle School
302 Green Hill Road, Madison, CT, 06443  Homes for sale",433.0,Madison School District
8,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Griswold High School
267 Slater Avenue, Griswold, CT, 06351  Homes for sale",535.0,Griswold School District
9,"10/10Top ratedGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Eastern Middle School
51 Hendrie Avenue, Greenwich, CT, 06878  Homes for sale",842.0,Greenwich School District
10,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Bielefield School
70 Maynard Street, Middletown, CT, 06457  Homes for sale",271.0,Middletown School District
11,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Mohegan School
49 Golden Road, Montville, CT, 06382  Homes for sale",345.0,Montville School District
12,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Charles Wright School
186 Nott Street, Wethersfield, CT, 06109  Homes for sale",320.0,Wethersfield School District
13,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Enfield High School
1264 Enfield Street, Enfield, CT, 06082  Homes for sale",1561.0,Enfield School District
14,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
West Middle School
927 Asylum Avenue, Hartford, CT, 06105  Homes for sale",437.0,Hartford School District
15,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Plainfield Memorial School
95 Canterbury Road, Plainfield, CT, 06374  Homes for sale",336.0,Plainfield School District
16,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Frenchtown Elementary
30 Frenchtown Road, Trumbull, CT, 06611  Homes for sale",519.0,Trumbull School District
17,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Spencer School
207 Westfield Street, Middletown, CT, 06457  Homes for sale",285.0,Middletown School District
18,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Interdistrict School For Arts And Communication
190 Governor Winthrop Boulevard, New London, CT, 06320  Homes for sale",271.0,Intrdist Sch For Arts And Com
19,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Nayaug Elementary School
222 Old Maids Lane, Glastonbury, CT, 06073  Homes for sale",554.0,Glastonbury School District
